"","Candidate","Constituency","Party","State.name","Candidate.Sex","Candidate.Category","Candidate.Age","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex.Ratio..per.1000.","Average.Literacy","INCUMBENT_PARTY","Incumbency","Education","Total.Assets","Women","Winner","Criminal.Case","SeriousCrime"
"1601","KRISHNAVENI.N","Theni","IND","Tamil Nadu","F","SC",40,644,21,800649,1074931,22,74.48375756,1245899,1148990,56751,991,"77.26%",NA,0,"8th Pass",305000,1,0,0,0
"1602","KU. KUNJAWATI","Bansgaon","IND","Uttar Pradesh","F","SC",36,4633,9,649971,1663648,15,39.06902181,4440895,4009037,403847,950,"70.83%","INC",0,"Post Graduate",10000,1,0,0,0
"1603","KU. RATANJEET PRATAP NARAYAN SINGH","Kushi Nagar","INC","Uttar Pradesh","M","GEN",45,223954,1,731275,1438263,18,50.84431707,3564544,2928462,620244,961,"65.25%",NA,0,"Graduate",39975893,0,1,0,0
"1604","KUBENDIRAN D","Vellore","IND","Tamil Nadu","M","SC",46,5143,6,724156,1010067,24,71.69385793,3936331,3397857,414760,1007,"79.17%","DMK",0,"Not Given",0,0,0,0,0
"1605","KUBENDRAN I","Tirunelveli","IND","Tamil Nadu","M","GEN",43,703,21,701132,1059687,21,66.16406543,3077233,2425630,303368,1023,"82.50%","INC",0,"8th Pass",1810000,0,0,0,0
"1606","KUDALEPATIL VIVEK ANANT","Baramati","BSP","Maharashtra","M","GEN",40,29864,3,735381,1593460,17,46.14995042,9429408,8090254,673704,915,"86.15%","NCP",0,"10th Pass",187510000,0,0,0,0
"1607","KULDEEP","Kairana","IND","Uttar Pradesh","M","GEN",32,1228,9,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,"69.12%","RLD",0,"Graduate",4362000,0,0,0,0
"1608","KULDEEP","Shrawasti","SBSP","Uttar Pradesh","M","GEN",44,9040,7,605386,1405884,11,43.06087842,1117361,768643,343981,881,"46.74%",NA,0,"Not Given",729000,0,0,1,0
"1609","KULDEEP KUMAR","Sitapur","PECP","Uttar Pradesh","M","GEN",33,3489,9,705007,1230078,16,57.31400773,4483992,3555450,893725,888,"61.12%","BSP",0,"Post Graduate",413000,0,0,0,0
"1610","KULKARNI KAUSTUBH SHASHIKANT","Pune","IND","Maharashtra","M","GEN",26,2013,11,735071,1806953,36,40.68013944,9429408,8090254,673704,915,"86.15%","INC",0,"12th Pass",50000,0,0,0,0
"1611","KUMAR","Namakkal","IND","Tamil Nadu","M","GEN",50,1241,19,846414,1075526,25,78.69767909,1726601,1673652,32483,986,"74.63%","INC",0,"Others",7999000,0,0,0,0
"1612","KUMAR C","Kanniyakumari","IND","Tamil Nadu","M","SC",40,333,22,765663,1178047,22,64.99426593,1870374,909872,78590,1019,"91.75%",NA,0,"5th Pass",10000,0,0,0,0
"1613","KUMAR K.","Thane","IND","Maharashtra","M","GEN",42,1092,22,749879,1806803,30,41.50308584,11060148,8716055,1355630,886,"84.53%","SHS",0,"10th Pass",1455000,0,0,0,0
"1614","KUMAR M","Viluppuram","IND","Tamil Nadu","M","SC",27,14770,4,796642,1068171,19,74.58000638,3458873,3174941,133896,987,"71.88%",NA,0,"5th Pass",55000,0,0,0,0
"1615","KUMAR M.M","Tiruvannamalai","IND","Tamil Nadu","M","GEN",55,747,24,840875,1052587,30,79.88650819,2464875,2294369,91636,994,"74.21%","DMK",0,"10th Pass",0,0,0,0,0
"1616","KUMAR S","Sriperumbudur","IND","Tamil Nadu","M","GEN",41,1254,11,794054,1201237,32,66.10302546,735394,569477,78452,1042,"85.20%","DMK",0,"Graduate",1069000,0,0,0,0
"1617","KUMAR V.A","Chennai South","IND","Tamil Nadu","M","GEN",44,255,30,728113,1162062,43,62.65698388,4646732,3751322,439270,989,"90.18%","DMK",0,"8th Pass",20000,0,0,0,0
"1618","KUMAR.P","Tiruchirappalli","ADMK","Tamil Nadu","M","GEN",37,298710,1,718714,1067193,24,67.34620636,2722290,2279413,190964,1013,"83.23%","MDMK",0,"Graduate Professional",5345000,0,1,0,0
"1619","KUMARESAN. M.","Krishnagiri","IND","Tamil Nadu","M","SC",34,1248,15,752586,1014758,16,74.16408641,1879809,1723737,115303,958,"71.46%","DMK",0,NA,NA,NA,NA,NA,NA
"1620","KUMARI KAMALA DAS","Barasat","IND","West Bengal","F","SC",40,7527,6,1025749,1226654,8,83.62170588,10009781,7352769,2584684,955,"84.06%","AIFB",0,"8th Pass",282000,1,0,0,0
"1621","KUMBHARE SULEKHA NARAYAN","Nagpur","BREM","Maharashtra","F","SC",49,1010,13,755684,1738920,27,43.45708831,4653570,3492202,390974,951,"88.39%","INC",0,"Graduate Professional",5250000,1,0,0,0
"1622","KUMBHARE SULEKHA NARAYAN","Ramtek","BREM","Maharashtra","F","SC",49,41376,4,764884,1502900,20,50.89387185,4653570,3492202,390974,951,"88.39%","SHS",0,"Graduate Professional",5200000,1,0,0,0
"1623","KUMODH NARAYAN CHOWDHURY","Kolkata Uttar","IND","West Bengal","M","GEN",34,2196,8,877421,1366647,13,64.20246047,4496694,3440290,926414,908,"86.31%",NA,0,"12th Pass",1522000,0,0,0,0
"1624","KUNWAR AKSHAYA PRATAP SINGH 'GOPAL JI'","Pratapgarh","SP","Uttar Pradesh","M","GEN",41,121252,3,641015,1435159,23,44.66508589,3209141,2731351,452394,998,"70.09%","SP",1,NA,NA,NA,NA,NA,NA
"1625","KUNWAR CHAND (VAKIL)","Agra","BSP","Uttar Pradesh","M","SC",51,193982,2,647123,1539683,15,42.02962558,4418797,3922718,411313,868,"71.58%","SP",0,NA,NA,NA,NA,NA,NA
"1626","KUNWAR DEVENDRA SINGH YADAV","Etah","BSP","Uttar Pradesh","M","GEN",60,147449,2,568344,1278295,19,44.46109857,1774480,1611126,146346,873,"70.81%","SP",0,"Doctorate",208759178,0,0,2,0
"1627","KUNWAR JITIN PRASAD","Dhaurahra","INC","Uttar Pradesh","M","GEN",36,391391,1,759610,1269584,12,59.83140934,4021243,3078262,807600,894,"60.56%",NA,0,"Post Graduate",32656975,0,1,0,0
"1628","KUNWAR PAL","Kairana","RDMP","Uttar Pradesh","M","GEN",50,604,13,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,"69.12%","RLD",0,"12th Pass",3701000,0,0,0,0
"1629","KUNWAR REWATI RAMAN SINGH ALIAS MANI JI","Allahabad","SP","Uttar Pradesh","M","GEN",65,209431,1,550217,1267492,31,43.40989923,5954391,5102041,796756,901,"72.32%","SP",1,"Graduate Professional",18640164,0,1,0,0
"1630","KUNWAR SARVESH KUMAR ALIAS RAKESH","Moradabad","BJP","Uttar Pradesh","M","GEN",57,252176,2,761009,1388525,18,54.80700744,4772006,2488265,2248392,906,"56.77%","SP",0,NA,NA,NA,NA,NA,NA
"1631","KUNWAR SARVRAJ SINGH","Aonla","BSP","Uttar Pradesh","M","GEN",55,174353,3,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,"58.49%","JD(U)",0,"Post Graduate",17078923,0,0,5,0
"1632","KUNWARPAL","Shahjahanpur","IND","Uttar Pradesh","M","SC",34,2099,15,792508,1627964,15,48.68092906,3006538,2412595,527581,872,"59.54%","INC",0,"12th Pass",68000,0,0,0,0
"1633","KUPPUSAMY.R.","Erode","IND","Tamil Nadu","M","GEN",61,1146,21,767466,1010079,25,75.98078962,2251744,2115455,76098,993,"72.58%",NA,0,"Literate",520000,0,0,0,0
"1634","KURESHI SK. MEHBUB SK.FATTU","Yavatmal-Washim","BBM","Maharashtra","M","GEN",44,4506,7,840248,1554042,28,54.06855156,2772348,2251401,239236,952,"82.82%","BJP",0,"Literate",25000,0,0,0,0
"1635","KUSHADHWAJ BALA(KUSH BALA)","Baharampur","BSP","West Bengal","M","SC",35,8587,5,952232,1179938,8,80.70186739,7103807,2359061,4707573,958,"66.59%","INC",0,"12th Pass",1570000,0,0,0,0
"1636","KWAJA NASIRODDINE KHAN","Yavatmal-Washim","DESEP","Maharashtra","M","GEN",29,935,26,840248,1554042,28,54.06855156,2772348,2251401,239236,952,"82.82%","BJP",0,"Post Graduate",410000,0,0,0,0
"1637","LAIQ AHMAD","Bareilly","AD","Uttar Pradesh","M","GEN",43,2474,7,705793,1401423,8,50.36259573,4448359,2830768,1536534,887,"58.49%","BJP",0,"Illiterate",140000,0,0,0,0
"1638","LAJJAWATI KANCHAN","Barabanki","IND","Uttar Pradesh","F","SC",43,12950,5,743567,1422218,15,52.2822099,3260699,2505444,737106,910,"61.75%","BSP",0,"12th Pass",117507,1,0,0,0
"1639","LAJJAWATI KANCHAN","Rae bareli","IND","Uttar Pradesh","F","SC",43,3546,8,666661,1379507,16,48.32603242,3405559,2975998,413243,943,"67.25%","INC",0,"10th Pass",121160,1,0,0,0
"1640","LAKHAN LAL","GUNA","IND","Madhya Pradesh","M","SC",30,3458,7,649981,1202772,18,54.04025036,1241519,1172248,49203,912,"63.23%","INC",0,NA,NA,NA,NA,NA,NA
"1641","LAKHMENDRA KHURANA","Mumbai North","BSP","Maharashtra","M","GEN",51,7203,4,685454,1608924,23,42.60325534,3085411,1873762,773173,832,"89.21%","INC",0,"Graduate",82431507,0,0,1,0
"1642","LAKHMI","Kairana","IND","Uttar Pradesh","M","GEN",53,5707,5,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,"69.12%","RLD",0,"8th Pass",6784937,0,0,0,0
"1643","LAKHPAT SINGH KIRAR","GWALIOR","ASP","Madhya Pradesh","M","GEN",38,1821,9,584549,1420728,23,41.14432882,2032036,1835299,141735,864,"76.65%","INC",0,NA,NA,NA,NA,NA,NA
"1644","LAKSHMAN CHANDRA SETH","Tamluk","CPM","West Bengal","M","GEN",59,464706,2,1148514,1271230,9,90.34667212,5095875,4343972,743436,938,"87.02%","CPM",1,NA,NA,NA,NA,NA,NA
"1645","LAKSHMAN SINGH","RAJGARH","BJP","Madhya Pradesh","M","GEN",54,294983,2,650475,1261062,9,51.58152414,1545814,1433879,106928,956,"61.21%","BJP",1,NA,NA,NA,NA,NA,NA
"1646","LAKSHMANAN R","Tenkasi","IND","Tamil Nadu","M","SC",60,6633,6,746598,1063614,9,70.19445024,4646732,3751322,439270,989,"90.18%","CPI",0,"Literate",747000,0,0,0,0
"1647","LAKSHMANAN R","Viluppuram","IND","Tamil Nadu","M","SC",49,825,18,796642,1068171,19,74.58000638,3458873,3174941,133896,987,"71.88%",NA,0,"10th Pass",30000,0,0,0,0
"1648","LAKSHMI NARAIN PANDEY 'GURU JI'","Pratapgarh","BJP","Uttar Pradesh","M","GEN",57,45575,5,641015,1435159,23,44.66508589,3209141,2731351,452394,998,"70.09%","SP",0,NA,NA,NA,NA,NA,NA
"1649","LAKSHMI S","Sriperumbudur","IND","Tamil Nadu","F","GEN",74,492,21,794054,1201237,32,66.10302546,735394,569477,78452,1042,"85.20%","DMK",0,"Post Graduate",125000,1,0,0,0
"1650","LAKSHMI SARKAR","Bankura","IND","West Bengal","F","GEN",54,27469,4,984935,1268563,11,77.64178839,2930115,2373120,227249,957,"64.48%","CPM",0,NA,NA,NA,NA,NA,NA
"1651","LAL BAHADUR","Gorakhpur","IND","Uttar Pradesh","M","GEN",68,568,26,750975,1696474,26,44.26681458,4440895,4009037,403847,950,"70.83%","BJP",0,"Graduate",825500,0,0,0,0
"1652","LAL BIHARI","Maharajganj","IND","Uttar Pradesh","M","GEN",42,4064,10,839577,1509167,15,55.63181543,2684703,2196884,458650,943,"62.76%","BJP",0,"8th Pass",1056500,0,0,0,0
"1653","LAL JI TANDON","Lucknow","BJP","Uttar Pradesh","M","GEN",73,204028,1,584055,1653123,41,35.33040191,4589838,3537787,985070,917,"77.29%","BJP",1,"Graduate",21700160,0,1,0,0
"1654","LAL MANI PRASAD","Bahraich","BSP","Uttar Pradesh","M","SC",55,121052,2,512701,1246823,13,41.1205921,3487731,2291892,1169330,892,"49.36%","SP",0,"Graduate",5051684,0,0,2,0
"1655","LAL SINGH","Ghaziabad","IND","Uttar Pradesh","M","SC",45,731,12,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,"78.07%",NA,0,"8th Pass",1901885,0,0,0,0
"1656","LAL SINGH","Kannauj","IND","Uttar Pradesh","M","GEN",40,1357,12,741957,1504276,16,49.32319601,1656616,1375788,273967,879,"72.70%","SP",0,"8th Pass",742300,0,0,0,0
"1657","LALA","Unnao","IND","Uttar Pradesh","M","GEN",40,2002,15,904592,1818980,21,49.73072821,3108367,2732016,363453,907,"66.37%","BSP",0,"Literate",148000,0,0,0,0
"1658","LALARAM","BHIND","IND","Madhya Pradesh","M","SC",46,1390,7,523856,1364411,13,38.39429615,1703005,1595400,66776,837,"75.26%","BJP",0,NA,NA,NA,NA,NA,NA
"1659","LALBABU","Ballia","IND","Uttar Pradesh","M","SC",36,1348,13,677834,1679029,16,40.37059515,3239774,3004240,213440,937,"70.94%","SJP(R)",0,"Graduate",702000,0,0,0,0
"1660","LALCHAND BERWA GOME","UJJAIN","IND","Madhya Pradesh","M","SC",52,2776,6,667598,1253686,9,53.250814,1986864,1718204,233133,955,"72.34%","BJP",0,NA,NA,NA,NA,NA,NA
"1661","LALCHAND NISHAD","Gorakhpur","INC","Uttar Pradesh","M","GEN",67,30262,4,750975,1696474,26,44.26681458,4440895,4009037,403847,950,"70.83%","BJP",0,NA,NA,NA,NA,NA,NA
"1662","LALIT KUMAR","Banda","ASP","Uttar Pradesh","M","GEN",37,3858,10,619793,1386265,15,44.7095613,1799410,1637549,157612,863,"66.67%","SP",0,NA,NA,NA,NA,NA,NA
"1663","LALITHA KUMARAMANGALAM.R","Tiruchirappalli","BJP","Tamil Nadu","F","GEN",51,30329,4,718714,1067193,24,67.34620636,2722290,2279413,190964,1013,"83.23%","MDMK",0,"Graduate Professional",49575000,1,0,0,0
"1664","LALJI","Mirzapur","RAD","Uttar Pradesh","M","GEN",48,1560,22,733350,1405539,27,52.17571337,2496970,2292534,195765,903,"68.48%","BSP",0,"12th Pass",2010000,0,0,0,0
"1665","LALJI RAJBHAR","Ghosi","BSD","Uttar Pradesh","M","GEN",44,1648,15,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,"70.93%","SP",0,"12th Pass",1580000,0,0,0,0
"1666","LALLA","Hamirpur","IND","Uttar Pradesh","M","GEN",46,4013,9,725511,1498840,16,48.40483307,1104285,1010014,91269,861,"68.77%","SP",0,"Not Given",205000,0,0,0,0
"1667","LALLAN","Chandauli","IJP","Uttar Pradesh","M","SC",49,1934,14,671208,1446259,18,46.40994455,1952756,1727869,215081,918,"71.48%","BSP",0,"Post Graduate",1636300,0,0,0,0
"1668","LALLAN SINGH","Phulpur","RSBP","Uttar Pradesh","M","GEN",35,1139,18,552190,1426450,24,38.71078552,4613913,3878626,718692,1019,"70.93%","SP",0,NA,NA,NA,NA,NA,NA
"1669","LALLU PRASAD","Hamirpur","IND","Uttar Pradesh","M","SC",38,9268,5,725511,1498840,16,48.40483307,1104285,1010014,91269,861,"68.77%","SP",0,"12th Pass",70000,0,0,1,1
"1670","LALLU SINGH","Faizabad","BJP","Uttar Pradesh","M","GEN",54,151558,3,749172,1500160,23,49.93947312,2470996,2094271,365806,962,"68.73%","BSP",0,"Post Graduate",7849185,0,0,1,1
"1671","LALMAN","Ambedkar Nagar","JPS","Uttar Pradesh","M","GEN",34,4898,9,811692,1494838,22,54.29966324,2397888,1985654,401678,978,"72.23%",NA,0,"10th Pass",5000,0,0,0,0
"1672","LALTA PRASAD","Pilibhit","IND","Uttar Pradesh","M","GEN",51,2840,11,837939,1310007,16,63.96446737,2031007,1449007,489686,895,"61.47%","BJP",0,"5th Pass",35000,0,0,0,0
"1673","LALTI DEVI","Mirzapur","VP","Uttar Pradesh","F","SC",54,2198,16,733350,1405539,27,52.17571337,2496970,2292534,195765,903,"68.48%","BSP",0,"Literate",1450000,1,0,0,0
"1674","LALU URF ATAL LAL","GUNA","BHBP","Madhya Pradesh","M","GEN",36,961,14,649981,1202772,18,54.04025036,1241519,1172248,49203,912,"63.23%","INC",0,NA,NA,NA,NA,NA,NA
"1675","LANDE VILAS MHATARBA","Shirur","IND","Maharashtra","M","GEN",37,14196,4,839271,1630466,11,51.47430244,9429408,8090254,673704,915,"86.15%",NA,0,"8th Pass",52800,0,0,0,0
"1676","LATHA. G.","Krishnagiri","IND","Tamil Nadu","F","SC",44,3763,9,752586,1014758,16,74.16408641,1879809,1723737,115303,958,"71.46%","DMK",0,"12th Pass",254700,1,0,0,0
"1677","LAXMAN SHIVAJI SHIRSATH (PATIL)","Jalgaon","KM","Maharashtra","M","GEN",42,2846,9,656573,1549391,13,42.37619813,4229917,3457615,560261,925,"78.20%","BJP",0,"Others",133000,0,0,6,0
"1678","LAXMAN VERMA","RAJGARH","IND","Madhya Pradesh","M","SC",64,4276,6,650475,1261062,9,51.58152414,1545814,1433879,106928,956,"61.21%","BJP",0,NA,NA,NA,NA,NA,NA
"1679","LAXMANSINGH AAMDOR","RAJGARH","IND","Madhya Pradesh","M","GEN",28,11311,3,650475,1261062,9,51.58152414,1545814,1433879,106928,956,"61.21%","BJP",0,NA,NA,NA,NA,NA,NA
"1680","LAXMI PRASAD AHIRWAR","TIKAMGARH","IND","Madhya Pradesh","M","SC",40,3554,9,525285,1209553,17,43.42802672,1445166,1383475,44143,901,"61.43%",NA,0,NA,NA,NA,NA,NA,NA
"1681","LAXMIKANT CHANDRAKANT GAIKWAD","Solapur","KKJHS","Maharashtra","M","SC",37,1294,12,743338,1594138,13,46.6294637,4317756,3795424,441254,938,"77.02%","BJP",0,"Graduate",191000,0,0,1,1
"1682","LAXMINARAYAN BHAGIRATH PATIDAR","MANDSOUR","IND","Madhya Pradesh","M","GEN",30,10712,3,765496,1371067,12,55.83213658,1340411,1192588,125548,963,"71.78%","BJP",0,NA,NA,NA,NA,NA,NA
"1683","LAYEEK AHMED ANSARI","Mumbai South central","IND","Maharashtra","M","GEN",38,814,16,598853,1515899,23,39.5048087,3085411,1873762,773173,860,"89.91%","SHS",0,NA,NA,NA,NA,NA,NA
"1684","LEELA HANS","Kolkata Dakshin","IJP","West Bengal","F","GEN",46,1472,13,1007505,1505638,13,66.91548699,4496694,3440290,926414,908,"86.31%",NA,0,"10th Pass",1342000,1,0,0,0
"1685","LEKSHMANAN . S","Kanniyakumari","IND","Tamil Nadu","M","GEN",42,1065,15,765663,1178047,22,64.99426593,1870374,909872,78590,1019,"91.75%",NA,0,"Not Given",163000,0,0,0,0
"1686","LINGAM P","Tenkasi","CPI","Tamil Nadu","M","SC",44,281174,1,746598,1063614,9,70.19445024,4646732,3751322,439270,989,"90.18%","CPI",1,"Graduate",159365,0,1,0,0
"1687","LINGAPPAN.V","Namakkal","UMK","Tamil Nadu","M","GEN",62,6907,7,846414,1075526,25,78.69767909,1726601,1673652,32483,986,"74.63%","INC",0,"8th Pass",1660000,0,0,0,0
"1688","LIYAKAT KHAN","Ghatal","IJP","West Bengal","M","GEN",31,9355,5,1170099,1354861,7,86.36302912,5095875,4343972,743436,938,"87.02%",NA,0,NA,NA,NA,NA,NA,NA
"1689","LOGANATHAN V","Dindigul","SP","Tamil Nadu","M","GEN",29,1278,14,820561,1085696,19,75.57925976,2159775,1879494,105012,998,"76.26%","INC",0,"Graduate",31000,0,0,0,0
"1690","LOGANATHAN. S","Karur","SAP","Tamil Nadu","M","GEN",32,662,23,825125,1012924,38,81.45971465,1064493,993666,53292,1015,"75.60%","DMK",0,NA,NA,NA,NA,NA,NA
"1691","LOGANATHAN.V","Chennai central","IND","Tamil Nadu","M","GEN",39,126,37,610808,1000705,37,61.03776837,4646732,3751322,439270,989,"90.18%","DMK",0,NA,NA,NA,NA,NA,NA
"1692","LOHRI","Meerut","IND","Uttar Pradesh","M","SC",50,494,23,727711,1508788,29,48.23149442,3443689,2183255,1185643,886,"72.84%","BSP",0,NA,NA,NA,NA,NA,NA
"1693","LOKESH G","Arani","IND","Tamil Nadu","M","GEN",28,4934,8,841239,1097865,13,76.62499488,3728104,3325823,143093,987,"84.03%",NA,0,"Others",1e+05,0,0,0,0
"1694","LOKPAL LODHI","GUNA","BSP","Madhya Pradesh","M","GEN",38,29164,3,649981,1202772,18,54.04025036,1241519,1172248,49203,912,"63.23%","INC",0,NA,NA,NA,NA,NA,NA
"1695","LOLAR SINGH URETI","SIDHI","GMS","Madhya Pradesh","M","ST",29,3611,11,675876,1358291,11,49.75929311,1127033,1077545,34419,957,"64.43%","BJP",0,NA,NA,NA,NA,NA,NA
"1696","LONDHE SHARAD LAXMAN","Shirdi","IND","Maharashtra","M","SC",42,4626,9,664001,1317890,17,50.38364355,4543159,4107143,320743,939,"79.05%",NA,0,NA,NA,NA,NA,NA,NA
"1697","LOTAN ALIAS LAUTAN PRASAD","Sant kabir Nagar","SSD","Uttar Pradesh","M","SC",47,5103,12,801331,1694453,24,47.29142679,1715183,1300586,404410,972,"66.72%",NA,0,NA,NA,NA,NA,NA,NA
"1698","LT. COLONEL SURESH BABU(Rtd)","Firozabad","IND","Uttar Pradesh","M","GEN",63,4083,8,684904,1422243,16,48.15660896,2498156,2140745,314812,875,"71.92%","SP",0,NA,NA,NA,NA,NA,NA
"1699","LUBNA ASIF","Gautam buddh Nagar","AIMF","Uttar Pradesh","F","GEN",25,661,19,739047,1522397,26,48.54495903,1648115,1394025,215500,851,"80.12%",NA,0,NA,NA,NA,NA,NA,NA
"1700","M. SHAKIL","KHAJURAHO","GMS","Madhya Pradesh","M","GEN",38,5545,10,583140,1349511,15,43.21120762,1016520,974748,35214,NA,NA,"BJP",0,NA,NA,NA,NA,NA,NA
"1701","M.RASHID KHAN","Saharanpur","IND","Uttar Pradesh","M","GEN",45,8096,6,821122,1298132,15,63.25412208,3466382,1966892,1454052,890,"70.49%","SP",0,"10th Pass",5556000,0,0,0,0
"1702","MADAN BHAI AMLAWAR","DHAR","IND","Madhya Pradesh","M","ST",49,5366,5,654926,1197172,11,54.70609069,2185793,2051219,116202,964,"59%","BJP",0,NA,NA,NA,NA,NA,NA
"1703","MADAN LAL","Kushi Nagar","MADP","Uttar Pradesh","M","GEN",46,2483,15,731275,1438263,18,50.84431707,3564544,2928462,620244,961,"65.25%",NA,0,"12th Pass",657000,0,0,0,0
"1704","MADAN MOHAN JAISWAL (ADVOCATE)","SIDHI","IND","Madhya Pradesh","M","GEN",36,4387,9,675876,1358291,11,49.75929311,1127033,1077545,34419,957,"64.43%","BJP",0,NA,NA,NA,NA,NA,NA
"1705","MADANLAL RAJORA","UJJAIN","LJP","Madhya Pradesh","M","SC",44,4546,5,667598,1253686,9,53.250814,1986864,1718204,233133,955,"72.34%","BJP",0,NA,NA,NA,NA,NA,NA
"1706","MADHAVARAJ K V","Sriperumbudur","IND","Tamil Nadu","M","GEN",42,639,19,794054,1201237,32,66.10302546,735394,569477,78452,1042,"85.20%","DMK",0,"12th Pass",11290,0,0,0,0
"1707","MADHU SUDAN SHET","Burdwan - durgapur","AUDF","West Bengal","M","GEN",54,13018,5,1135044,1353380,8,83.86735433,7717563,6008472,1599764,NA,NA,"CPM",0,NA,NA,NA,NA,NA,NA
"1708","MADHUKAR SHIVDASPPA GORATE","Yavatmal-Washim","IND","Maharashtra","M","GEN",67,2314,14,840248,1554042,28,54.06855156,2772348,2251401,239236,952,"82.82%","BJP",0,"8th Pass",933100,0,0,0,0
"1709","MADHUKAR VITTHALRAO NISTANE","Chandrapur","IND","Maharashtra","M","GEN",43,12843,6,899430,1536352,23,58.54322447,2204307,1780085,92297,961,"80.01%","BJP",0,"Graduate",0,0,0,1,0
"1710","MAGESHKUMAR.E","Kancheepuram","IND","Tamil Nadu","M","SC",30,2181,9,787103,1060188,20,74.24183258,3998252,3537399,173785,986,"84.49%",NA,0,NA,NA,NA,NA,NA,NA
"1711","MAHA BEER PRASAD","Bansgaon","INC","Uttar Pradesh","M","SC",66,76432,4,649971,1663648,15,39.06902181,4440895,4009037,403847,950,"70.83%","INC",1,"Post Graduate",11323938,0,0,1,1
"1712","MAHADEO ANNA WAGHAMARE","Sangli","RSPS","Maharashtra","M","SC",65,4798,8,776868,1490571,14,52.1188189,2822143,2440312,239607,966,"81.48%","INC",0,NA,NA,NA,NA,NA,NA
"1713","MAHADEO JAGANNATH JANKAR","Madha","RSPS","Maharashtra","M","GEN",40,98946,3,920314,1558442,15,59.05346493,3003741,2691952,146970,988,"82.87%",NA,0,NA,NA,NA,NA,NA,NA
"1714","MAHADEV LIMBAJI GALPHADE","Mumbai North West","IND","Maharashtra","M","GEN",38,1393,11,707157,1604992,21,44.05984578,3085411,1873762,773173,832,"89.21%","INC",0,"10th Pass",95306,0,0,0,0
"1715","MAHADEV PRASAD TIWARI","GUNA","IND","Madhya Pradesh","M","GEN",50,1854,10,649981,1202772,18,54.04025036,1241519,1172248,49203,912,"63.23%","INC",0,NA,NA,NA,NA,NA,NA
"1716","MAHALINGAM J.S.","Chennai South","IND","Tamil Nadu","M","GEN",49,143,42,728113,1162062,43,62.65698388,4646732,3751322,439270,989,"90.18%","DMK",0,"Literate",191000,0,0,0,0
"1717","MAHAMMAD AKRAM MAHAMMAD SALIMUDDIN BAGWAN","Beed","IND","Maharashtra","M","GEN",34,9883,5,1073989,1637239,21,65.59757006,2585049,2174672,320395,916,"76.99%","NCP",0,NA,NA,NA,NA,NA,NA
"1718","MAHAMMADGOUS GULAB NADAF","Kolhapur","IND","Maharashtra","M","GEN",57,8296,5,1029317,1583030,10,65.02195157,3876001,3379906,286558,957,"81.51%","NCP",0,"5th Pass",635000,0,0,0,0
"1719","MAHAMUNI S","Dindigul","IND","Tamil Nadu","M","SC",26,1350,13,820561,1085696,19,75.57925976,2159775,1879494,105012,998,"76.26%","INC",0,"10th Pass",0,0,0,0,0
"1720","MAHANT VISHRAM DAS","Barabanki","IND","Uttar Pradesh","M","SC",67,10667,6,743567,1422218,15,52.2822099,3260699,2505444,737106,910,"61.75%","BSP",0,"Post Graduate",1903000,0,0,0,0
"1721","MAHAVIR SINGH","Pilibhit","IND","Uttar Pradesh","M","GEN",49,1913,12,837939,1310007,16,63.96446737,2031007,1449007,489686,895,"61.47%","BJP",0,"Post Graduate",21751000,0,0,0,0
"1722","MAHENDRA","Jhansi","IND","Uttar Pradesh","M","GEN",39,7349,8,861859,1562082,18,55.17373608,1998603,1823930,147842,890,"75.05%","SP",0,"Not Given",243000,0,0,0,0
"1723","MAHENDRA BHAIYA (DIKSHIT)","SIDHI","IND","Madhya Pradesh","M","GEN",42,6268,7,675876,1358291,11,49.75929311,1127033,1077545,34419,957,"64.43%","BJP",0,NA,NA,NA,NA,NA,NA
"1724","MAHENDRA KERU WADHWINDE","Bhiwandi","IND","Maharashtra","M","SC",54,1496,14,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,"84.53%",NA,0,NA,NA,NA,NA,NA,NA
"1725","MAHENDRA KUMAR ROY","Jalpaiguri","CPM","West Bengal","M","SC",54,469613,1,1031822,1252142,10,82.40455156,3872846,3156781,445817,NA,NA,"CPM",1,NA,NA,NA,NA,NA,NA
"1726","MAHENDRA PRABHAKAR TIWARI","Maval","IND","Maharashtra","M","GEN",41,2117,11,717773,1604886,18,44.72423586,9429408,8090254,673704,915,"86.15%",NA,0,"10th Pass",3022197,0,0,0,0
"1727","MAHENDRA PRASAD NISHAD","Fatehpur","BSP","Uttar Pradesh","M","GEN",37,166725,2,694394,1536621,18,45.18967266,2632733,2274674,350700,901,"67.43%","BSP",1,"Graduate",5423876,0,0,0,0
"1728","MAHENDRA R. MOHITE","Bhiwandi","IND","Maharashtra","M","SC",43,8937,7,584379,1483176,16,39.40051619,11060148,8716055,1355630,886,"84.53%",NA,0,"10th Pass",0,0,0,0,0
